Company,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Maruti Suzuki,2021,139002,144761,146203,135879,32903,124280,133732,103187,63111,108991,109722,123016
Hyundai,2021,52005,51600,52600,49002,25001,40496,48042,46866,33087,37021,37001,32312
Tata,2021,26980,27224,29655,25095,15181,24111,30184,28017,25729,33296,29780,35300
Mahindra,2021,20498,16702,16643,18285,8004,16636,20797,15786,12863,20034,19400,17476
Kia,2021,19056,15380,19100,16111,11050,15015,15016,16750,14441,16331,14214,7797
Honda,2021,11320,9324,7103,9072,2032,4767,6055,11177,6765,8108,5457,7973
Toyota,2021,11126,14069,14997,9621,707,8798,13103,12769,9284,12440,13002,10883
Renault,2021,8209,11043,12356,8642,2620,6100,9787,9703,7326,8910,5052,6130
Ford,2021,4141,5775,7746,5469,766,4936,3139,1508,0,0,0,0
Nissan,2021,4021,4244,4012,3369,1235,3336,4208,3170,2701,3619,2392,2783
MG,2021,3602,4329,5528,2565,1016,3558,4225,3900,3241,2863,2481,2550
Volkswagen,2021,2041,2186,1159,1533,1425,1633,1962,1631,2563,3077,3154,3700
Skoda,2021,1004,853,1159,961,716,734,3080,3829,3027,3065,2196,3233
Jeep,2021,394,1103,1360,846,475,789,909,1173,1311,1324,1052,916
Maruti Suzuki,2020,139843,133632,76039,0,13702,51274,97768,113033,147912,163656,135775,140754
Hyundai,2020,42002,40010,26300,0,6883,21320,38200,45809,50313,56605,48800,47400
Tata,2020,13856,12196,5676,0,3152,11419,15012,18583,21200,23600,21640,23546
Mahindra,2020,19407,10673,3105,0,3745,7959,10904,13407,14664,18318,17971,18720
Kia,2020,15450,15644,8583,0,1661,7275,8502,10853,18676,21021,21022,11818
Honda,2020,5239,7269,3697,0,375,1398,5383,7509,10199,10836,9990,8638
Toyota,2020,5804,10352,7023,0,1641,3866,5386,5555,8116,12373,8508,7487
Renault,2020,7805,8784,3269,0,1753,4634,6422,8060,8805,11005,10181,9800
Ford,2020,4881,7019,3519,0,571,2639,3937,4731,5765,7084,3991,1662
Nissan,2020,172,267,519,0,74,70,88,192,58,122,158,657
MG,2020,3130,1376,1518,0,710,2012,2105,2851,2537,3750,4163,4010
Volkswagen,2020,968,314,128,0,1404,1510,1887,1470,2050,2054,1412,2401
Skoda,2020,1347,1259,451,0,508,790,922,1003,1312,1421,1056,1303
Jeep,2020,701,666,163,0,93,256,400,468,554,832,709,384
Maruti Suzuki,2019,132872,129936,138483,129990,121012,111014,96478,93173,110454,139121,139133,122784
Hyundai,2019,45803,43110,44350,42005,42502,42007,39010,38205,40705,50010,44600,37953
Tata,2019,17272,17818,17714,12695,10900,13351,10485,7316,8097,13169,10400,12785
Mahindra,2019,22399,24520,25982,18901,19541,17762,16024,13147,13967,17923,14240,15276
Kia,2019,0,0,0,0,0,0,0,6236,7754,12854,14005,4645
Honda,2019,18259,13527,17201,11272,11442,10314,10250,8291,9301,10010,6459,8412
Toyota,2019,11221,11760,12818,10112,12138,10603,10423,10701,10203,11866,8312,6544
Renault,2019,5825,6241,7127,6256,5949,5400,3660,5704,8345,11516,10882,11964
Ford,2019,7700,6669,8271,6515,6361,5333,6284,5517,5556,7017,5392,3021
Nissan,2019,1500,774,977,518,476,401,313,288,295,401,350,617
MG,2019,0,0,0,0,0,0,1508,2018,2608,3536,3239,3021
Volkswagen,2019,2803,2617,2751,1995,2685,2463,2521,2306,2550,3213,2937,3483
Skoda,2019,1232,1267,1401,1126,1148,987,1076,1164,1233,1378,1266,2006
Jeep,2019,1267,1304,1441,1204,977,791,509,605,603,854,638,742
